Groupe,Page (nom Webflow),URL actuelle,Statut,Type,Créée le,Modifiée le (Paris),Décision proposée,Action demain,Pourquoi,301 au go-live →,Ancien formulaire Webflow,Existe sur la prod,Validé par,Fait,ID Webflow
1. Nouveau site,Retailers,/retailers,Publiée,Statique,2024-09-28,2026-09-24 17:56,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Oui,,,6aaaafd0271107b340148cf0
1. Nouveau site,Suppliers,/suppliers,Publiée,Statique,2024-10-19,2026-09-24 17:13,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Oui,,,6aaaafd0271107b340148d04
2. À trancher (Emilien),Amazon Seller Central Automation,/automation,Publiée,Statique,2025-10-11,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : dépublier),"Hors sujet (Amazon Seller Central), title SEO « automation », publiée depuis oct. 2025 : vérifier qui l'a créée.",/ (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d2b
2. À trancher (Emilien),Form Contact,/company/form-contact,Publiée,Statique,2026-07-16,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : garder en ligne),"Créée en juillet 2026, meta en français : utilisée dans une campagne, un e-mail ou un QR code ?",/request-demo (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d2d
2. À trancher (Emilien),Form Contact seller,/company/form-contact-seller,Publiée,Statique,2026-07-20,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : garder en ligne),"Créée en juillet 2026 ; malgré son nom, la description vise les acheteurs (« Accédez à un catalogue de producteurs vérifiés… »).",/request-demo-retailers (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d2f
2. À trancher (Emilien),Form Contact supplier,/company/form-contact-supplier,Publiée,Statique,2026-07-16,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : garder en ligne),"Créée en juillet 2026, meta en français : utilisée dans une campagne ou une séquence HubSpot ?",/request-demo-suppliers (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d2e
2. À trancher (Emilien),FAQ,/faq,Publiée,Statique,2025-07-14,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : dépublier),FAQ 2025 au design hérité ; les FAQ sont maintenant sur Suppliers et les pages Request Demo.,/request-demo (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d29
2. À trancher (Emilien),Join us,/join-us,Publiée,Statique,2025-06-30,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : garder en ligne),"Page recrutement : garder si une offre est ouverte, sinon dépublier + 301.",/company/about-us (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d28
2. À trancher (Emilien),Pricing,/pricing,Publiée,Statique,2025-10-10,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : dépublier),"Tarifs 2025, hors des pages MVP : pas de prix public sur le nouveau site ?",/request-demo (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d2a
2. À trancher (Emilien),For Wholesalers,/solutions/for-wholesalers,Publiée,Statique,2024-10-19,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : dépublier),Remplacée par Suppliers ; title SEO faux (« Solution 3: Retailers »).,/suppliers (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d03
2. À trancher (Emilien),Use Cases,/use-cases,Publiée,Statique,2025-06-26,2026-09-16 17:04,À TRANCHER,Décision Emilien (défaut : dépublier),Remplacée par Customer Stories.,/customer-stories (si dépubliée),Oui,Oui,,,6aaaafd0271107b340148d27
3. Copies et sauvegardes (sept. 2026),OLD - For Producers,/solutions/old---for-producers,Publiée,Statique,2026-09-23,2026-09-23 12:00,BROUILLON + /old/,Passer en brouillon + ranger dans /old/,"Copie de travail du 23/09, PUBLIÉE par erreur.",—,Oui,Non (créée après le 16/09),,,6ab3a34267ee3adfda50a3de
3. Copies et sauvegardes (sept. 2026),BACKUP - Request Demo,/backup---request-demo,Brouillon,Statique,2026-09-23,2026-09-23 14:33,BROUILLON + /old/,Ranger dans /old/,"Sauvegarde avant refonte, déjà en brouillon : garder le contenu jusqu'à la traduction FR/ES.",—,Oui,Non (créée après le 16/09),,,6ab3c70c99e1638c0f3cf136
3. Copies et sauvegardes (sept. 2026),BACKUP - About Us,/backup-about-us,Brouillon,Statique,2026-09-24,2026-09-24 10:26,BROUILLON + /old/,Ranger dans /old/,"Sauvegarde avant refonte, déjà en brouillon : garder le contenu jusqu'à la traduction FR/ES.",—,,Non (créée après le 16/09),,,6ab4dec592adff6d620d732a
3. Copies et sauvegardes (sept. 2026),BACKUP - Cookie policy,/backup-cookie-policy,Brouillon,Statique,2026-09-23,2026-09-23 13:02,BROUILLON + /old/,Ranger dans /old/,"Sauvegarde avant refonte, déjà en brouillon : garder le contenu jusqu'à la traduction FR/ES.",—,Oui,Non (créée après le 16/09),,,6ab3b1ce2a7d7b1c0095e6a1
3. Copies et sauvegardes (sept. 2026),BACKUP - Data processing agreement,/backup-data-processing-agreement,Brouillon,Statique,2026-09-23,2026-09-23 13:44,BROUILLON + /old/,Ranger dans /old/,"Sauvegarde avant refonte, déjà en brouillon : garder le contenu jusqu'à la traduction FR/ES.",—,Oui,Non (créée après le 16/09),,,6ab3bba9bc9074e637128fa0
3. Copies et sauvegardes (sept. 2026),BACKUP - Legal notice,/backup-legal-notice,Brouillon,Statique,2026-09-23,2026-09-23 13:02,BROUILLON + /old/,Ranger dans /old/,"Sauvegarde avant refonte, déjà en brouillon : garder le contenu jusqu'à la traduction FR/ES.",—,Oui,Non (créée après le 16/09),,,6ab3b1cd049c295fb6257a51
3. Copies et sauvegardes (sept. 2026),BACKUP - Privacy policy,/backup-privacy-policy,Brouillon,Statique,2026-09-23,2026-09-23 13:02,BROUILLON + /old/,Ranger dans /old/,"Sauvegarde avant refonte, déjà en brouillon : garder le contenu jusqu'à la traduction FR/ES.",—,,Non (créée après le 16/09),,,6ab3b1cb049c295fb625791e
3. Copies et sauvegardes (sept. 2026),BACKUP - Terms & conditions,/backup-terms-conditions,Brouillon,Statique,2026-09-23,2026-09-23 13:44,BROUILLON + /old/,Ranger dans /old/,Contient la version FR des CGU (texte EN + FR) → à reprendre pour la locale FR. Ne pas supprimer avant.,—,Oui,Non (créée après le 16/09),,,6ab3bba9add5f0a62bd6c9a6
3. Copies et sauvegardes (sept. 2026),OLD - Privacy policy,/legal/old---privacy-policy,Brouillon,Statique,2026-09-23,2026-09-23 12:47,BROUILLON + /old/,Ranger dans /old/,"Copie de travail du 23/09, déjà en brouillon.",—,Oui,Non (créée après le 16/09),,,6ab3ae2df3f81f835e1d741a
3. Copies et sauvegardes (sept. 2026),OLD - Home Copy 3,/old---home-copy-3,Brouillon,Statique,2026-09-23,2026-09-23 10:47,BROUILLON + /old/,Ranger dans /old/,"Copie de travail du 23/09, déjà en brouillon.",—,Oui,Non (créée après le 16/09),,,6ab392145a85c0823f88dbe1
3. Copies et sauvegardes (sept. 2026),OLD - For Supermarkets,/solutions/old---for-supermarkets,Brouillon,Statique,2026-09-23,2026-09-23 12:20,BROUILLON + /old/,Ranger dans /old/,"Copie de travail du 23/09, déjà en brouillon.",—,Oui,Non (créée après le 16/09),,,6ab3a7cc2fbcdac396b03f5c
4. Anciennes pages hors /old/,Terms & conditions Copy,/legal/terms-and-conditions-copy,Publiée,Statique,2026-07-16,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon + ranger dans /old/,Doublon publié des CGU ; meta description en français → vérifier si c'est la version FR avant toute suppression.,/legal/terms-and-conditions,Oui,Oui,,,6aaaafd0271107b340148d2c
4. Anciennes pages hors /old/,OLD - Resources,/old-resources,Publiée,Statique,2024-10-20,2026-09-23 19:25,BROUILLON + /old/,Passer en brouillon + ranger dans /old/,"Ancienne page Resources, publiée ; remplacée par /resources (le Header y renvoyait, corrigé le 24/09).",/resources,,Oui,,,6aaaafd0271107b340148d06
4. Anciennes pages hors /old/,Cookie policy,/legal/cookie-policy-wrong,Brouillon,Statique,2024-10-23,2026-09-16 17:04,BROUILLON + /old/,Ranger dans /old/,Brouillon 2024 obsolète (slug « wrong »).,—,Oui,Oui,,,6aaaafd0271107b340148d08
4. Anciennes pages hors /old/,Legal Notice,/legal/legal-notice-old,Brouillon,Statique,2024-10-23,2026-09-16 17:04,BROUILLON + /old/,Ranger dans /old/,Brouillon 2024 obsolète (slug « old »).,—,Oui,Oui,,,6aaaafd0271107b340148d07
5. Archive /old/ (héritée de la prod),All Enric,/old/all-enric,Publiée,Statique,2022-06-14,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Page de test ou perso encore publiée.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148c57
5. Archive /old/ (héritée de la prod),Blog,/old/blog,Publiée,Statique,2020-04-28,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Ancien listing Blog ; les articles CMS restent publics sous /blog/…,/resources,Oui,Oui,,,6aaaafd0271107b340148c58
5. Archive /old/ (héritée de la prod),Our Story,/old/company/about-consentio,Publiée,Statique,2020-04-22,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/company/about-us,,Oui,,,6aaaafd0271107b340148c56
5. Archive /old/ (héritée de la prod),FAQ,/old/company/faq,Publiée,Statique,2020-04-22,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/request-demo,,Oui,,,6aaaafd0271107b340148c7d
5. Archive /old/ (héritée de la prod),Impact,/old/company/impact,Publiée,Statique,2020-10-23,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/company/about-us,Oui,Oui,,,6aaaafd0271107b340148cd4
5. Archive /old/ (héritée de la prod),Integrations,/old/company/integrations,Publiée,Statique,2020-05-20,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/suppliers,,Oui,,,6aaaafd0271107b340148cd5
5. Archive /old/ (héritée de la prod),Join us,/old/company/join-us,Publiée,Statique,2020-05-04,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/company/about-us,,Oui,,,6aaaafd0271107b340148cd7
5. Archive /old/ (héritée de la prod),Press,/old/company/press,Publiée,Statique,2020-04-28,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/company/about-us,,Oui,,,6aaaafd0271107b340148ce2
5. Archive /old/ (héritée de la prod),Team,/old/company/team,Publiée,Statique,2020-04-28,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/company/about-us,,Oui,,,6aaaafd0271107b340148ce7
5. Archive /old/ (héritée de la prod),Consolidation ebook,/old/consolidation-ebook,Publiée,Statique,2022-01-13,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2022), encore publiée.",/resources,Oui,Oui,,,6aaaafd0271107b340148c5c
5. Archive /old/ (héritée de la prod),Contact,/old/contact,Publiée,Statique,2020-04-13,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/request-demo,,Oui,,,6aaaafd0271107b340148c5d
5. Archive /old/ (héritée de la prod),Contactme,/old/contactme,Publiée,Statique,2022-05-10,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Page de test encore publiée.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148c5e
5. Archive /old/ (héritée de la prod),Content Hub,/old/content-hub,Publiée,Statique,2020-11-13,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/resources,Oui,Oui,,,6aaaafd0271107b340148c5f
5. Archive /old/ (héritée de la prod),Download-optimize-management-fruit-vegetables,/old/download-optimize-management-fruit-vegetables,Publiée,Statique,2021-05-25,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2021), encore publiée.",/resources,,Oui,,,6aaaafd0271107b340148c7a
5. Archive /old/ (héritée de la prod),Ebook,/old/ebook,Publiée,Statique,2021-12-21,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2021), encore publiée.",/resources,,Oui,,,6aaaafd0271107b340148c7b
5. Archive /old/ (héritée de la prod),ERP,/old/erp,Publiée,Statique,2022-01-12,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2022), encore publiée.",/suppliers,,Oui,,,6aaaafd0271107b340148c7c
5. Archive /old/ (héritée de la prod),Features,/old/features,Publiée,Statique,2020-04-13,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/,,Oui,,,6aaaafd0271107b340148c7e
5. Archive /old/ (héritée de la prod),Form,/old/form,Publiée,Statique,2020-05-08,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/request-demo,,Oui,,,6aaaafd0271107b340148cd1
5. Archive /old/ (héritée de la prod),Fresh Outlook,/old/fresh-outlook,Publiée,Statique,2021-09-30,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2021), encore publiée.",règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148cd2
5. Archive /old/ (héritée de la prod),Home Copy,/old/home-copy,Publiée,Statique,2022-06-30,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Ancienne version de la Home.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148cd3
5. Archive /old/ (héritée de la prod),Home Copy 2,/old/home-copy-2,Publiée,Statique,2024-12-18,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Ancienne version de la Home.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148d20
5. Archive /old/ (héritée de la prod),Job Form,/old/job-form,Publiée,Statique,2020-05-04,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/company/about-us,Oui,Oui,,,6aaaafd0271107b340148cd6
5. Archive /old/ (héritée de la prod),kit-digital,/old/kit-digital,Publiée,Statique,2022-02-17,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Programme espagnol Kit Digital : vérifier avec l'équipe ES qu'aucun engagement n'impose la page.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148cd8
5. Archive /old/ (héritée de la prod),Consentio Pro,/old/l/consentio-pro,Publiée,Statique,2020-12-23,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",règle /old/(.*) → /,Oui,Oui,,,6aaaafd0271107b340148c5a
5. Archive /old/ (héritée de la prod),Customer testimonial supermarket-E.Leclerc,/old/l/customer-testimonial-supermarket,Publiée,Statique,2021-01-19,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2021), encore publiée.",/customer-stories,Oui,Oui,,,6aaaafd0271107b340148c62
5. Archive /old/ (héritée de la prod),Customer testimonial supermarket buyer,/old/l/customer-testimonial-supermarket-buyer,Publiée,Statique,2021-02-24,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2021), encore publiée.",/customer-stories,Oui,Oui,,,6aaaafd0271107b340148c63
5. Archive /old/ (héritée de la prod),Fruit Attraction,/old/learn-more,Publiée,Statique,2021-09-21,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Landing salon Fruit Attraction 2021.,règle /old/(.*) → /,Oui,Oui,,,6aaaafd0271107b340148cda
5. Archive /old/ (héritée de la prod),Terms of Use,/old/legal/terms-condtions,Publiée,Statique,2020-04-22,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/legal/terms-and-conditions,,Oui,,,6aaaafd0271107b340148cea
5. Archive /old/ (héritée de la prod),Magic Orders,/old/magic-orders,Publiée,Statique,2022-05-09,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2022), encore publiée.",/suppliers,Oui,Oui,,,6aaaafd0271107b340148cdd
5. Archive /old/ (héritée de la prod),NPS,/old/nps,Publiée,Statique,2022-02-11,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,À vérifier : lien depuis l'app ou un e-mail d'enquête ?,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148cde
5. Archive /old/ (héritée de la prod),Old Home,/old/old-home,Publiée,Statique,2021-02-03,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Ancienne version de la Home.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148c53
5. Archive /old/ (héritée de la prod),optimize management fruit vegetables,/old/optimize-management-fruit-vegetables,Publiée,Statique,2021-05-25,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2021), encore publiée.",/resources,Oui,Oui,,,6aaaafd0271107b340148cdf
5. Archive /old/ (héritée de la prod),Prospecting,/old/prospecting,Publiée,Statique,2022-03-21,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2022), encore publiée.",règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148ce4
5. Archive /old/ (héritée de la prod),For Producers,/old/solutions/for-producers,Publiée,Statique,2020-04-13,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/suppliers,,Oui,,,6aaaafd0271107b340148c7f
5. Archive /old/ (héritée de la prod),For Supermarkets,/old/solutions/for-supermarkets,Publiée,Statique,2020-04-13,2026-09-23 12:20,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/retailers,,Oui,,,6aaaafd0271107b340148ca2
5. Archive /old/ (héritée de la prod),For Wholesalers,/old/solutions/for-wholesalers,Publiée,Statique,2020-04-13,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/suppliers,,Oui,,,6aaaafd0271107b340148cd0
5. Archive /old/ (héritée de la prod),Sustainability,/old/sustainability,Publiée,Statique,2021-08-24,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2021), encore publiée.",règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148ce6
5. Archive /old/ (héritée de la prod),Customer Use Case_HQ Supermarket Supplier,/old/temoignage-client,Publiée,Statique,2020-11-11,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,"Archive de l'ancien site (2020), encore publiée.",/customer-stories,Oui,Oui,,,6aaaafd0271107b340148ce8
5. Archive /old/ (héritée de la prod),Test,/old/test,Publiée,Statique,2021-11-25,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,Page de test encore publiée.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148ceb
5. Archive /old/ (héritée de la prod),unsubscribe,/old/unsubscribe,Publiée,Statique,2022-01-12,2026-09-16 17:04,BROUILLON + /old/,Passer en brouillon,À vérifier : un ancien e-mail (ActiveCampaign) pointe-t-il encore dessus ? Désinscription = obligation RGPD.,règle /old/(.*) → /,,Oui,,,6aaaafd0271107b340148cec
5. Archive /old/ (héritée de la prod),Our Story-,/old/company/our-story,Brouillon,Statique,2020-10-19,2026-09-16 17:04,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,,Oui,,,6aaaafd0271107b340148ce1
5. Archive /old/ (héritée de la prod),Consentio Pro has arrived,/old/consentio-pro-has-arrived,Brouillon,Statique,2020-12-11,2026-09-16 17:04,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,Oui,Oui,,,6aaaafd0271107b340148c5b
5. Archive /old/ (héritée de la prod),Cookies Homme Page Test,/old/cookies-homme-page-test,Brouillon,Statique,2021-02-10,2026-09-16 17:04,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,,Oui,,,6aaaafd0271107b340148c61
5. Archive /old/ (héritée de la prod),Customer Use Case,/old/customer-use-case,Brouillon,Statique,2020-10-21,2026-09-16 17:04,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,Oui,Oui,,,6aaaafd0271107b340148c64
5. Archive /old/ (héritée de la prod),Cookie Policy,/old/legal/cookie-policy,Brouillon,Statique,2022-12-07,2026-09-23 15:22,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,,Oui,,,6aaaafd0271107b340148c60
5. Archive /old/ (héritée de la prod),Data Processing Agreement,/old/legal/data-processing-agreement,Brouillon,Statique,2022-12-19,2026-09-23 15:22,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,,Oui,,,6aaaafd0271107b340148c65
5. Archive /old/ (héritée de la prod),Legal Notice,/old/legal/legal-notice,Brouillon,Statique,2022-12-07,2026-09-23 15:22,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,,Oui,,,6aaaafd0271107b340148cdc
5. Archive /old/ (héritée de la prod),Privacy Policy,/old/legal/privacy-policy,Brouillon,Statique,2022-12-07,2026-09-23 15:22,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,,Oui,,,6aaaafd0271107b340148ce3
5. Archive /old/ (héritée de la prod),Terms and conditions,/old/legal/terms-and-conditions,Brouillon,Statique,2023-12-21,2026-09-23 15:22,BROUILLON (déjà),Aucune,"Archive de l'ancien site, déjà en brouillon.",—,,Oui,,,6aaaafd0271107b340148ce9
6. Modèles CMS du nouveau site,Customer Stories Template,/customer-stories,Publiée,Modèle CMS,2026-09-23,2026-09-24 17:10,GARDER,Aucune,Modèle CMS du nouveau site.,—,,Non (créée après le 16/09),,,6ab3a0a99759d62f86280b8b
6. Modèles CMS du nouveau site,Product modules Template,/product-modules,Publiée,Modèle CMS,2026-09-23,2026-09-23 11:49,GARDER + noindex,Exclure du sitemap + noindex,Collection de données : génère 5 pages publiques inutiles (1 par item).,—,,Non (créée après le 16/09),,,6ab3a099a10f2540aaa498f5
6. Modèles CMS du nouveau site,Resources Template,/resources,Publiée,Modèle CMS,2026-09-23,2026-09-24 17:17,GARDER,Aucune,Modèle CMS du nouveau site.,—,,Non (créée après le 16/09),,,6ab38c2d7da8705b11f01e65
6. Modèles CMS du nouveau site,Retailers Logo collections Template,/retailers-logo-collection,Publiée,Modèle CMS,2026-09-23,2026-09-23 12:18,GARDER + noindex,Exclure du sitemap + noindex,Collection de données : génère 20 pages publiques inutiles (1 par item).,—,,Non (créée après le 16/09),,,6ab3a782b58a494d156ea531
7. Modèles CMS hérités,Banners Template,/banner,Publiée,Modèle CMS,2021-08-30,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /banner/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c66
7. Modèles CMS hérités,Blog Posts Template,/blog,Publiée,Modèle CMS,2020-04-30,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),"Ancien blog : articles publics sous /blog/… → 301 vers /resources/… pour ceux repris dans Resources, après la bascule.",—,Oui,Oui,,,6aaaafd0271107b340148c67
7. Modèles CMS hérités,Blog Posts only- es Template,/blog-posts-only-es,Publiée,Modèle CMS,2023-01-18,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /blog-posts-only-es/… ; se supprime en supprimant la collection.,—,Oui,Oui,,,6aaaafd0271107b340148c68
7. Modèles CMS hérités,Categorias kit digitals Template,/categorias-kit-digital,Publiée,Modèle CMS,2022-02-18,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /categorias-kit-digital/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c69
7. Modèles CMS hérités,Content Hubs Template,/contenthub,Publiée,Modèle CMS,2020-11-17,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /contenthub/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c6a
7. Modèles CMS hérités,Ebooks Template,/ebook,Publiée,Modèle CMS,2021-05-31,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /ebook/… ; se supprime en supprimant la collection.,—,Oui,Oui,,,6aaaafd0271107b340148c6b
7. Modèles CMS hérités,FRuit attractions Template,/fruit-attraction,Publiée,Modèle CMS,2021-09-21,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /fruit-attraction/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c6c
