Ordre,Ancienne URL,Nouvelle URL,Type,Collection,Note
79,/contenthub/the-important-role-of-the-department-manager,/resources/the-important-role-of-the-department-manager,précise,Content Hubs,doublon d’un article repris
80,/contenthub/ensuring-business-continuity-the-importance-of-technological-solutions,/resources/consentio-achieved-the-iso-27001-certification,précise,Content Hubs,doublon d’un article repris
81,/contenthub/thirsty-crops-how-the-global-water-shortage-is-changing-the-food-value-chain,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Content Hubs,doublon d’un article repris
82,/contenthub/eyeing-the-future-of-the-global-food-waste-problem,/resources/food-waste-the-big-deal,précise,Content Hubs,doublon d’un article repris
83,/contenthub/innovation-in-fruits-and-vegetables,/resources/digital-agriculture-and-innovation,précise,Content Hubs,doublon d’un article repris
84,/contenthub/modern-problems-need-modern-solutions-for-fresh-produce-growers,/resources/fresh-produce-supply-chains-why-automate,précise,Content Hubs,doublon d’un article repris
85,/contenthub/sustainable-agricultural-practices-horticultural-grafting,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Content Hubs,doublon d’un article repris
86,/contenthub/what-is-sustainable-agriculture,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Content Hubs,doublon d’un article repris
87,/contenthub/distinct-opportunities-only-found-food-supply-chain,/resources/fresh-food-supply-chain-challenges,précise,Content Hubs,doublon d’un article repris
88,/contenthub/environmental-impact-digitization-sustainability-along-fresh-produce-supply-chain,/resources/why-take-an-interest-in-sustainability-data,précise,Content Hubs,doublon d’un article repris
89,/contenthub/sustainable-agrotech-startups-2021,/resources/start-ups-and-agro-industry,précise,Content Hubs,doublon d’un article repris
90,/contenthub/the-difference-between-food-loss-and-food-waste,/resources/food-waste-and-losses,précise,Content Hubs,doublon d’un article repris
91,/contenthub/how-to-save-water-in-agriculture,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Content Hubs,doublon d’un article repris
92,/contenthub/advantages-and-disadvantages-of-local-fruits-and-vegetables,/resources/local-consumption-trends,précise,Content Hubs,doublon d’un article repris
93,/contenthub/innovations-in-the-fruit-and-vegetable-sector-in-2021,/resources/digital-agriculture-and-innovation,précise,Content Hubs,doublon d’un article repris
94,/contenthub/avoiding-food-loss-for-a-fruits-and-vegetables-business,/resources/food-waste-and-losses,précise,Content Hubs,doublon d’un article repris
95,/contenthub/imperfect-fruits-and-vegetables-the-flavor-is-on-the-inside,/resources/non-standard-products-a-wasted-source-of-value,précise,Content Hubs,doublon d’un article repris
96,/contenthub/the-circular-economy-in-the-fruit-and-vegetable-sector,/resources/the-circular-economy-in-the-fruit-and-vegetable-sector,précise,Content Hubs,doublon d’un article repris
97,/contenthub/modernization-of-cooperatives-thanks-to-rfid-technology,/resources/transformation-digital-cooperatives,précise,Content Hubs,doublon d’un article repris
98,/contenthub/technology-traceability-sensors,/resources/technology-traceability-sensors,précise,Content Hubs,doublon d’un article repris
99,/contenthub/technology-traceability-blockchain,/resources/technology-traceability-blockchain,précise,Content Hubs,doublon d’un article repris
100,/contenthub/transformation-digital-cooperatives,/resources/transformation-digital-cooperatives,précise,Content Hubs,doublon d’un article repris
101,/contenthub/logistics-challenges-retail-industry,/resources/logistics-challenges-retail-industry,précise,Content Hubs,doublon d’un article repris
102,/contenthub/innovation-areas-agri-food-indstry,/resources/innovation-areas-agri-food-indstry,précise,Content Hubs,doublon d’un article repris
103,/use/saving-20-hours-per-week-thanks-to-order-automation-with-coast-tropical,/customer-stories/coast-tropical-order-automation,précise,Use Cases,même client dans Customer Stories
104,/use/lagadec-primeurs-takes-on-the-challenge-of-modernizing-its-communication-with-customers,/customer-stories/lagadec-primeurs-customer-communication,précise,Use Cases,même client dans Customer Stories
105,/use/use-case-1,/customer-stories/anecoop-order-profitability,précise,Use Cases,même client dans Customer Stories
106,/ebook/optimize-the-management-of-your-fruits-and-vegetables-section,/resources/the-important-role-of-the-department-manager,précise,Ebooks,ressource la plus proche
107,/blog/(.*),/resources,générique,Blog Posts,filet de sécurité : APRÈS les règles précises
108,/contenthub/(.*),/resources,générique,Content Hubs,filet de sécurité : APRÈS les règles précises
109,/blog-posts-only-es/(.*),/resources,générique,Blog Posts only- es,filet de sécurité : APRÈS les règles précises
110,/podcasts/(.*),/resources,générique,Podcasts,filet de sécurité : APRÈS les règles précises
111,/ebook/(.*),/resources,générique,Ebooks,filet de sécurité : APRÈS les règles précises
112,/webinar/(.*),/resources,générique,Webinars,filet de sécurité : APRÈS les règles précises
113,/new-feature/(.*),/resources,générique,New Features,filet de sécurité : APRÈS les règles précises
114,/use/(.*),/customer-stories,générique,Use Cases,filet de sécurité : APRÈS les règles précises
115,/media/(.*),/company/about-us,générique,Media,filet de sécurité : APRÈS les règles précises
116,/team/(.*),/company/about-us,générique,Team Members,filet de sécurité : APRÈS les règles précises
117,/jobs-listing/(.*),/company/about-us,générique,Jobs,filet de sécurité : APRÈS les règles précises
118,/office-locations/(.*),/company/about-us,générique,Office locations,filet de sécurité : APRÈS les règles précises
119,/integrations/(.*),/suppliers,générique,Integrations Tools,filet de sécurité : APRÈS les règles précises
120,/integrations-categories/(.*),/suppliers,générique,Integrations Categories,filet de sécurité : APRÈS les règles précises
121,/banner/(.*),/,générique,Banners,filet de sécurité : APRÈS les règles précises
122,/logos-fruit-attraction/(.*),/,générique,Landing logos,filet de sécurité : APRÈS les règles précises
123,/landing-page-logos/(.*),/,générique,Landing page -logos,filet de sécurité : APRÈS les règles précises
124,/fruit-attraction/(.*),/,générique,FRuit attractions,filet de sécurité : APRÈS les règles précises
125,/team-in-fruit-a-south-summit/(.*),/,générique,Team in Fruit a & South summits,filet de sécurité : APRÈS les règles précises
126,/categorias-kit-digital/(.*),/,générique,Categorias kit digitals,filet de sécurité : APRÈS les règles précises
