Date,Titre,Ancienne URL,Statut,Décision,Cible 301,Note
2024-03-13,Third competition for the most beautiful fruit & vegetable shelf,/blog/third-competition-for-the-most-beautiful-fruit-vegetable-shelf,publié,Déjà dans Resources,/resources/third-competition-for-the-most-beautiful-fruit-vegetable-shelf,
2024-02-29,Transparent solutions to strengthen relations and supply,/blog/transparent-solutions-to-strengthen-relations-and-supply,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),8. Reprise telle quelle (2024)
2024-02-27,Shaping the future of the fresh produce sector with Consentio - positive feedback from Fruit Logistica:,/blog/shaping-the-future-of-the-fresh-produce-sector-with-consentio---positive-feedback-from-fruit-logistica,publié,Archiver,/resources (règle générique),
2024-01-24,"Digital transformation: more than a trend, a priority",/blog/digital-transformation-more-than-a-trend-a-priority,publié,Déjà dans Resources,/resources/digital-transformation-more-than-a-trend-a-priority,
2024-01-24,"""In 2023, Consentio enjoyed many successes and learnt  some valuable lessons too, paving the way for a promising future""",/blog/in-2023-consentio-enjoyed-many-successes-and-learnt-some-valuable-lessons-too-paving-the-way-for-a-promising-future,publié,Déjà dans Resources,/resources/in-2023-consentio-enjoyed-many-successes-and-learnt-some-valuable-lessons-too-paving-the-way-for-a-promising-future,
2023-11-27,Business digitalization: why outsource?,/blog/business-digitalization-why-outsource,publié,Déjà dans Resources,/resources/business-digitalization-why-outsource,
2023-10-29,"""The introduction of Consentio has positioned us as a cutting-edge leader in the industry."", discover Alsum Farms & Produces testimonial!",/blog/the-introduction-of-consentio-has-positioned-us-as-a-cutting-edge-leader-in-the-industry-discover-alsum-farms-produces-testimonial,brouillon,Déjà dans Resources,/resources/the-introduction-of-consentio-has-positioned-us-as-a-cutting-edge-leader-in-the-industry-discover-alsum-farms-produces-testimonial,"Brouillon : pas d’URL en ligne, pas de 301"
2023-10-25,"ISO27001: more than a certification, a commitment to service continuity",/blog/iso27001-more-than-a-certification-a-commitment-to-service-continuity,brouillon,Fusionner dans une ressource existante,/resources/consentio-achieved-the-iso-27001-certification,"Brouillon : pas d’URL en ligne, pas de 301"
2023-10-24,"Digitalization, at the heart of company strategy",/blog/digitalization-at-the-heart-of-company-strategy,publié,Déjà dans Resources,/resources/digitalization-at-the-heart-of-company-strategy,
2023-10-11,"""Embracing digitalization means valuing people""",/blog/embracing-digitalization-means-valuing-people,publié,Déjà dans Resources,/resources/embracing-digitalization-means-valuing-people,
2023-10-09,Consentio achieved the ISO 27001 certification!,/blog/consentio-achieved-the-iso-27001-certification,publié,Déjà dans Resources,/resources/consentio-achieved-the-iso-27001-certification,
2023-09-25,"Behind the screen, at Consentio",/blog/behind-the-screen-at-consentio,publié,Déjà dans Resources,/resources/behind-the-screen-at-consentio,
2023-09-22,Fruits & Vegetables: packaging and regulations,/blog/fruits-vegetables-packaging-and-regulations,publié,Déjà dans Resources,/resources/fruits-vegetables-packaging-and-regulations,
2023-08-18,"""Selling a digital solution means helping our customers to manage change""",/blog/selling-a-digital-solution-means-helping-our-customers-to-manage-change,publié,Déjà dans Resources,/resources/selling-a-digital-solution-means-helping-our-customers-to-manage-change,
2023-08-01,Online buying and selling of fresh produce aims to reduce food waste,/blog/online-buying-and-selling-of-fresh-produce-aims-to-reduce-food-waste,publié,Déjà dans Resources,/resources/online-buying-and-selling-of-fresh-produce-aims-to-reduce-food-waste,
2023-07-20,Why take an interest in sustainability data?,/blog/why-take-an-interest-in-sustainability-data,publié,Déjà dans Resources,/resources/why-take-an-interest-in-sustainability-data,
2023-06-28,"""Our customer portfolio has increased significantly""",/blog/our-customer-portfolio-has-increased-significantly,brouillon,Déjà dans Resources,/resources/our-customer-portfolio-has-increased-significantly,"Brouillon : pas d’URL en ligne, pas de 301"
2023-06-22,Climate and resilience: working for the future of agriculture,/blog/climate-and-resilience-working-for-the-future-ofagriculture,publié,Déjà dans Resources,/resources/climate-and-resilience-working-for-the-future-ofagriculture,
2023-05-23,Food4Future: when food meets technology,/blog/food4future-when-food-meets-technology,publié,Archiver,/resources (règle générique),
2023-05-22,Food waste: the big deal,/blog/food-waste-the-big-deal,publié,Déjà dans Resources,/resources/food-waste-the-big-deal,
2023-04-27,The people behind Consentio,/blog/the-people-behind-consentio,publié,Déjà dans Resources,/resources/the-people-behind-consentio,
2023-04-24,Fresh produce supply chains: why automate?,/blog/fresh-produce-supply-chains-why-automate,publié,Déjà dans Resources,/resources/fresh-produce-supply-chains-why-automate,
2023-03-16,The important role of the department manager,/blog/the-important-role-of-the-department-manager,publié,Déjà dans Resources,/resources/the-important-role-of-the-department-manager,
2023-03-14,Consentio grabs the 57th position into the FoodTech500,/blog/consentio-grabs-the-57th-position-into-the-foodtech500,publié,Archiver,/resources (règle générique),
2023-02-27,ACTUALIDAD CONSENTIO,/blog/actualidad-consentio,publié,Archiver,/resources (règle générique),
2023-02-23,Exclusive Event in Berlin's Fruit Logistica,/blog/exclusive-event-on-digitalization-in-berlins-fruit-logistica,publié,Archiver,/resources (règle générique),
2023-02-22,Ensuring Business Continuity: The Importance of Technological Solutions,/blog/ensuring-business-continuity-the-importance-of-technological-solutions,publié,Fusionner dans une ressource existante,/resources/consentio-achieved-the-iso-27001-certification,
2023-01-30,CONSENTIO NOTICIAS,/blog/consentio-noticias-2,publié,Archiver,/resources (règle générique),
2023-01-23,CONSENTIO NOTICIAS,/blog/consentio-noticias,publié,Archiver,/resources (règle générique),
2023-01-09,#ACTUALIDAD,/blog/actualidad,publié,Archiver,/resources (règle générique),
2022-12-19,How technology can help extend shelf life of Fresh Produce,/blog/how-technology-can-help-extend-shelf-life-of-fresh-produce,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),7. « Allonger la durée de vie des produits frais »
2022-10-13,Thirsty Crops: How the Global Water Shortage Is Changing the Food Value Chain,/blog/thirsty-crops-how-the-global-water-shortage-is-changing-the-food-value-chain,publié,Fusionner dans une ressource existante,/resources/climate-and-resilience-working-for-the-future-ofagriculture,
2022-09-09,The Farmworker Conundrum,/blog/the-farmworker-conundrum,publié,Archiver,/resources (règle générique),
2022-08-16,Eyeing the Future of the Global Food Waste Problem,/blog/eyeing-the-future-of-the-global-food-waste-problem,publié,Fusionner dans une ressource existante,/resources/food-waste-the-big-deal,
2022-07-29,What’s Next for Plant-based Foods?,/blog/whats-next-for-plant-based-foods,publié,Archiver,/resources (règle générique),
2022-05-16,How Digital Catalogs can Help you Buy and Sell Fruits and Vegetables Online,/blog/how-digital-catalogs-can-help-you-buy-and-sell-fruits-and-vegetables-online,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),1. Guide « Vendre ses F&L en ligne (B2B) » (fusion de 5 articles)
2022-05-16,Innovation in fruits and vegetables,/blog/innovation-in-fruits-and-vegetables,publié,Fusionner dans une ressource existante,/resources/digital-agriculture-and-innovation,
2022-03-14,Food Supplies threatened by Russia Ukraine conflict,/blog/food-supplies-threatened-by-russia-ukraine-conflict,publié,Archiver,/resources (règle générique),
2022-02-18,Modern problems need modern solutions for fresh produce growers,/blog/modern-problems-need-modern-solutions-for-fresh-produce-growers,publié,Fusionner dans une ressource existante,/resources/fresh-produce-supply-chains-why-automate,
2022-01-25,E-commerce for fresh produce,/blog/e-commerce-fruit-vegetables,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),1. Guide « Vendre ses F&L en ligne (B2B) » (fusion de 5 articles)
2022-01-25,ERP for Fresh Produce,/blog/erp-for-fresh-produce,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),2. « ERP et produits frais » (lien avec le module Integrations et le slider ERP)
2022-01-05,What do fresh produce and MMA have in common? The power of data analysis,/blog/what-do-fresh-produce-and-mma-have-in-common-power-data-analysis,publié,Archiver,/resources (règle générique),
2021-12-14,Fruit and vegetable wholesalers,/blog/fruit-and-vegetable-wholesalers,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),4. « Grossistes F&L : digitaliser la prise de commande »
2021-12-02,Improve the way you sell fruits and vegetables online and offline,/blog/improving-sale-of-fruit-and-vegetables-online-and-offline,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),1. Guide « Vendre ses F&L en ligne (B2B) » (fusion de 5 articles)
2021-11-22,Where to sell fruits and vegetables,/blog/where-to-sell-fruits-and-vegetables,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),1. Guide « Vendre ses F&L en ligne (B2B) » (fusion de 5 articles)
2021-11-15,Sustainable agricultural practices: Horticultural grafting,/blog/sustainable-agricultural-practices-horticultural-grafting,publié,Fusionner dans une ressource existante,/resources/climate-and-resilience-working-for-the-future-ofagriculture,
2021-11-05,Communicating through tough topics in the produce industry,/blog/communicating-through-tough-topics-produce-industry,publié,Archiver,/resources (règle générique),
2021-10-27,Responsible use of pumpkins for a sustainable Halloween,/blog/responsible-use-pumpkins-for-sustainable-halloween,publié,Archiver,/resources (règle générique),
2021-10-21,COVID-19 could foster new sustainable agricultural practices,/blog/covid-19-could-foster-new-sustainable-agricultural-practices,publié,Archiver,/resources (règle générique),
2021-10-15,Participation of rural women in agriculture,/blog/participation-of-rural-women-in-agriculture,publié,Archiver,/resources (règle générique),
2021-09-21,What is sustainable agriculture?,/blog/what-is-sustainable-agriculture,publié,Fusionner dans une ressource existante,/resources/climate-and-resilience-working-for-the-future-ofagriculture,
2021-09-08,A united global effort needed for growing produce demands,/blog/united-global-effort-needed-for-growing-produce-demands,publié,Archiver,/resources (règle générique),
2021-09-01,3 distinct opportunities only found in the food supply chain,/blog/distinct-opportunities-only-found-food-supply-chain,publié,Fusionner dans une ressource existante,/resources/fresh-food-supply-chain-challenges,
2021-08-17,"Environmental Impact, Digitization and Sustainability along the Fresh Produce Supply Chain",/blog/environmental-impact-digitization-sustainability-along-fresh-produce-supply-chain,publié,Fusionner dans une ressource existante,/resources/why-take-an-interest-in-sustainability-data,
2021-08-09,The tool that allows you to separate your work life from your personal life,/blog/the-tool-allows-you-separate-work-life-from-personal-life,publié,Archiver,/resources (règle générique),
2021-07-27,"Demands of consumers in the fruit and vegetable sector, 2021",/blog/demands-consumers-fruit-vegetable-sector-2021,publié,Fusionner dans une ressource existante,/resources/local-consumption-trends,
2021-06-15,Sustainable agrotech startups 2021,/blog/sustainable-agrotech-startups-2021,publié,Fusionner dans une ressource existante,/resources/start-ups-and-agro-industry,
2021-05-28,The guide to B2B sales success in the fruit and vegetable sector,/blog/b2b-sales-success-fruit-vegetable-sector,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),3. « Réussir la vente B2B en fruits et légumes »
2021-05-13,Marketing strategies for the fruit and vegetables sector,/blog/marketing-strategies-for-the-fruit-and-vegetables-sector,publié,Archiver,/resources (règle générique),
2021-04-29,The difference between 'food loss' and 'food waste',/blog/the-difference-between-food-loss-and-food-waste,publié,Fusionner dans une ressource existante,/resources/food-waste-and-losses,
2021-04-14,How to save water in agriculture,/blog/how-to-save-water-in-agriculture,publié,Fusionner dans une ressource existante,/resources/climate-and-resilience-working-for-the-future-ofagriculture,
2021-04-07,What differentiates fruits from vegetables?,/blog/what-differentiates-fruits-from-vegetables,publié,Archiver,/resources (règle générique),Grand public : vérifier le trafic Search Console avant d’archiver
2021-03-23,Advantages and disadvantages of local fruits and vegetables,/blog/advantages-and-disadvantages-of-local-fruits-and-vegetables,publié,Fusionner dans une ressource existante,/resources/local-consumption-trends,
2021-03-16,Buying and selling fruits and vegetables online,/blog/buying-and-selling-fruits-and-vegetables-online,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),1. Guide « Vendre ses F&L en ligne (B2B) » (fusion de 5 articles)
2021-03-08,The role of women in agriculture,/blog/the-role-of-women-in-agriculture,publié,Archiver,/resources (règle générique),
2021-03-02,Innovations in the fruit and vegetable sector in 2021,/blog/innovations-in-the-fruit-and-vegetable-sector-in-2021,publié,Fusionner dans une ressource existante,/resources/digital-agriculture-and-innovation,
2021-02-19,Avoiding food loss for a fruits and vegetables business,/blog/avoiding-food-loss-for-a-fruits-and-vegetables-business,publié,Fusionner dans une ressource existante,/resources/food-waste-and-losses,
2021-02-10,Why consume seasonal fruits and vegetables?,/blog/why-consume-seasonal-fruits-and-vegetables,publié,Archiver,/resources (règle générique),Grand public : vérifier le trafic Search Console avant d’archiver
2021-02-03,Shrinkage: what it is and how to avoid it,/blog/shrinkage-what-it-is-and-how-to-avoid-it,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),5. « Démarque en rayon F&L : la réduire » (cible distributeurs)
2021-01-25,Why data ethics is important for your company?,/blog/why-data-ethics-is-important-for-your-company,publié,Archiver,/resources (règle générique),
2021-01-18,Lessons from 2020 for the fresh produce sector,/blog/lessons-from-2020-for-the-fresh-produce-sector,publié,Archiver,/resources (règle générique),
2021-01-08,What is quality control in fruits and vegetables?,/blog/what-is-quality-control-in-fruits-and-vegetables,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),6. « Contrôle qualité des F&L »
2020-12-18,Imperfect fruits and vegetables: the flavor is on the inside,/blog/imperfect-fruits-and-vegetables-the-flavor-is-on-the-inside,publié,Fusionner dans une ressource existante,/resources/non-standard-products-a-wasted-source-of-value,
2020-12-11,What characterizes organic fruit and vegetables,/blog/what-characterizes-organic-fruit-and-vegetables,publié,Archiver,/resources (règle générique),Grand public : vérifier le trafic Search Console avant d’archiver
2020-12-01,The circular economy in the fruit and vegetable sector,/blog/the-circular-economy-in-the-fruit-and-vegetable-sector,publié,Déjà dans Resources,/resources/the-circular-economy-in-the-fruit-and-vegetable-sector,
2020-11-19,The digitization of the fruits and vegetables industry due to Covid-19,/blog/the-digitization-of-the-fruits-and-vegetables-industry-due-to-covid-19,publié,Fusionner dans une ressource existante,/resources/digital-transformation-more-than-a-trend-a-priority,
2020-09-14,Modernization of cooperatives thanks to RFID technology,/blog/modernization-of-cooperatives-thanks-to-rfid-technology,publié,Fusionner dans une ressource existante,/resources/transformation-digital-cooperatives,
2020-08-03,Innovation areas in the agri-food industry during the year 2020,/blog/innovation-areas-agri-food-indstry,publié,Déjà dans Resources,/resources/innovation-areas-agri-food-indstry,
2020-07-27,Logistics challenges in fruits and vegetables industry,/blog/logistics-challenges-retail-industry,publié,Déjà dans Resources,/resources/logistics-challenges-retail-industry,
2020-07-20,Digital transformation in cooperatives for fresh produce,/blog/transformation-digital-cooperatives,publié,Déjà dans Resources,/resources/transformation-digital-cooperatives,
2020-07-13,Advances in food traceability technologies part (Il),/blog/technology-traceability-blockchain,publié,Déjà dans Resources,/resources/technology-traceability-blockchain,
2020-07-06,Advances in food traceability technologies part (I),/blog/technology-traceability-sensors,publié,Déjà dans Resources,/resources/technology-traceability-sensors,
