Collection,Préfixe URL,Créée en,Items,Publiés,Dernier item créé,Verdict,Pourquoi,Cible / fusion,Vendredi 25/09,Après la bascule,301 générique,ID Webflow,Validé par
Office locations,/office-locations/,2021,2,2,2021-06,ARCHIVER,San Francisco et Barcelona (2021) ; Paris et Rennes absents,"Adresses en statique (footer, About Us)",Archiver les 2 items,Suppression mi-octobre,/office-locations/(.*) → /company/about-us,6aaaafd0271107b340148d94,
Integrations Tools,/integrations/,2020,6,6,2020-05,ARCHIVER,"6 outils de 2020 (Outlook, WhatsApp, Excel…)","Slider ERP de la Home, ou collection Logos (type ERP)",Archiver les 6 items,Supprimer AVANT Integrations Categories (référence),/integrations/(.*) → /suppliers,6aaaafd0271107b340148d7b,
Integrations Categories,/integrations-categories/,2020,5,5,2020-06,ARCHIVER,"5 catégories de 2020, référencées par Integrations Tools",Un champ Option suffirait,Archiver les 5 items,Supprimer APRÈS Integrations Tools,/integrations-categories/(.*) → /suppliers,6aaaafd0271107b340148d9d,
New Features,/new-feature/,2021,2,2,2021-04,ARCHIVER,2 nouveautés produit d’avril 2021,—,Archiver les 2 items,Suppression mi-octobre,/new-feature/(.*) → /resources,6aaaafd0271107b340148c8d,
Banners,/banner/,2021,2,1,2022-03,ARCHIVER,"Bandeau « Kit Digital » (ES, 2021) + « US » (brouillon)",Bandeau d’annonce : composant statique si besoin (ex. Klarys joins Consentio),Archiver les 2 items,Suppression mi-octobre,/banner/(.*) → /,6aaaafd0271107b340148ca3,
Categorias kit digitals,/categorias-kit-digital/,2022,7,7,2022-02,ARCHIVER (à trancher ES),7 catégories du programme Kit Digital (2022),—,Archiver les 7 items,Vérifier avec l’équipe ES qu’aucune obligation de publicité Kit Digital ne subsiste,/categorias-kit-digital/(.*) → /,6aaaafd0271107b340148d9b,
FRuit attractions,/fruit-attraction/,2021,6,6,2021-09,ARCHIVER,Landing Fruit Attraction 2021,Salon 2026 : page statique ou ressource « News »,Archiver les 6 items,Suppression mi-octobre,/fruit-attraction/(.*) → /,6aaaafd0271107b340148d95,
Team in Fruit a & South summits,/team-in-fruit-a-south-summit/,2021,3,3,2021-12,ARCHIVER,3 personnes présentes aux salons 2021,—,Archiver les 3 items,Suppression mi-octobre,/team-in-fruit-a-south-summit/(.*) → /,6aaaafd0271107b340148d97,
Landing logos,/logos-fruit-attraction/,2021,2,2,2021-09,ARCHIVER,2 logos de salons 2021,—,Archiver les 2 items,Suppression mi-octobre,/logos-fruit-attraction/(.*) → /,6aaaafd0271107b340148d0c,
Landing page -logos,/landing-page-logos/,2021,6,6,2021-09,ARCHIVER (fusion logos),"6 logos 2021 ; E.Leclerc, Walmart et Greenery absents de Retailers Logo",Ajouter ces 3 logos à « Logos clients » après validation légale,Archiver les 6 items,Suppression mi-octobre,/landing-page-logos/(.*) → /,6aaaafd0271107b340148d98,
